"Rollen bearbeiten","Rollen bearbeiten"
"neu","neu"
"Name","Name"
"Beschreibung","Beschreibung"
"normal","normal"
"mainadmin","mainadmin"
"superadmin","superadmin"
"nur intern","nur intern"
"speichern","speichern"
"zur&uuml;ck","zur&uuml;ck"
"Rollen","Rollen"
"Der Rollenname ist zu kurz%%-comma-%%} bitte mind. 5 Zeichen verwenden","Der Rollenname ist zu kurz%%-comma-%%} bitte mind. 5 Zeichen verwenden"
"Funktionen","Funktionen"
"Plugins","Plugins"
"l&ouml;schen","l&ouml;schen"
"Typ","Typ"
"Bitte eine Typ aus dem Dropdown verwenden!","Bitte eine Typ aus dem Dropdown verwenden!"
"Der Rollenname beinhaltet nicht erlaubte Zeichen","Der Rollenname beinhaltet nicht erlaubte Zeichen"
"Historie","Historie"
